ticker,signal_mode,days,rank,ob_value,os_value,stop_ticks,take_profit_ticks,trailing_stop_ticks,breakeven_ticks,atr_ratio_min,max_hold_minutes,n_trades,win_rate,total_pnl,profit_factor,max_drawdown,avg_hold_candles,exit_stop_loss,exit_take_profit,exit_trailing_stop,exit_breakeven_stop,exit_timeout,exit_eod_close,exit_other
GAZP,mean_reversion,60,2,85.0,15.0,66,264,0,0,0.7,90,82,48.8,31.61,1.19,42.8,16.6,14,0,0,0,67,0,1
GAZP,mean_reversion,60,3,85.0,15.0,66,198,0,56,0.7,90,83,45.8,29.07,1.17,44.02,15.9,14,4,0,4,60,0,1
GAZP,mean_reversion,60,4,80.0,15.0,133,266,0,66,0.7,150,81,45.7,34.67,1.17,37.35,27.9,7,0,0,4,69,0,1
GAZP,mean_reversion,60,5,80.0,15.0,133,399,0,66,0.7,150,81,45.7,34.67,1.17,37.35,27.9,7,0,0,4,69,0,1
GAZP,mean_reversion,60,6,80.0,15.0,133,532,0,66,0.7,150,81,45.7,34.67,1.17,37.35,27.9,7,0,0,4,69,0,1
GAZP,mean_reversion,60,7,80.0,15.0,133,266,0,66,0.5,150,88,46.6,31.7,1.15,41.31,28.1,7,0,0,4,76,0,1
GAZP,mean_reversion,60,8,80.0,15.0,133,399,0,66,0.5,150,88,46.6,31.7,1.15,41.31,28.1,7,0,0,4,76,0,1
GAZP,mean_reversion,60,9,80.0,15.0,133,532,0,66,0.5,150,88,46.6,31.7,1.15,41.31,28.1,7,0,0,4,76,0,1
GAZP,mean_reversion,60,10,85.0,15.0,66,264,0,56,0.7,90,82,47.6,24.41,1.14,46.32,16.1,14,0,0,4,63,0,1
GMKN,mean_reversion,60,0,80.0,20.0,59,177,40,50,0.7,,128,37.5,-98.37,0.76,122.81,17.0,0,0,92,0,36,0,0
GMKN,mean_reversion,60,1,90.0,10.0,83,166,0,42,0.0,150,50,40.0,46.43,1.36,65.79,28.7,2,1,0,2,45,0,0
GMKN,mean_reversion,60,2,90.0,10.0,83,166,0,42,0.5,150,50,40.0,46.43,1.36,65.79,28.7,2,1,0,2,45,0,0
GMKN,mean_reversion,60,3,75.0,10.0,83,249,0,71,0.7,150,80,46.2,69.24,1.29,40.57,28.8,4,0,0,2,73,0,1
GMKN,mean_reversion,60,4,75.0,10.0,83,332,0,71,0.7,150,80,46.2,69.24,1.29,40.57,28.8,4,0,0,2,73,0,1
GMKN,mean_reversion,60,5,90.0,10.0,83,166,0,0,0.0,150,50,42.0,40.64,1.29,73.94,29.3,2,1,0,0,47,0,0
GMKN,mean_reversion,60,6,90.0,10.0,83,166,0,0,0.5,150,50,42.0,40.64,1.29,73.94,29.3,2,1,0,0,47,0,0
GMKN,mean_reversion,60,7,90.0,10.0,83,166,0,71,0.0,150,50,42.0,40.64,1.29,73.94,29.3,2,1,0,0,47,0,0
GMKN,mean_reversion,60,8,90.0,10.0,83,166,0,71,0.5,150,50,42.0,40.64,1.29,73.94,29.3,2,1,0,0,47,0,0
GMKN,mean_reversion,60,9,75.0,10.0,83,166,0,71,0.7,150,80,46.2,59.24,1.25,40.57,28.7,4,1,0,2,72,0,1
GMKN,mean_reversion,60,10,75.0,10.0,83,249,0,42,0.7,150,80,41.2,54.62,1.24,46.53,27.8,4,0,0,8,67,0,1
LKOH,mean_reversion,60,0,80.0,20.0,85,255,60,72,0.7,,113,40.7,-558.25,0.54,580.04,22.1,0,0,52,0,61,0,0
LKOH,mean_reversion,60,1,90.0,15.0,59,177,0,30,0.7,90,73,35.6,-105.9,0.81,188.32,14.7,6,1,0,15,51,0,0
LKOH,mean_reversion,60,2,90.0,20.0,59,177,0,50,0.7,150,88,39.8,-212.83,0.79,360.09,24.2,22,2,0,8,56,0,0
LKOH,mean_reversion,60,3,90.0,20.0,59,118,0,50,0.7,150,90,41.1,-214.52,0.78,330.1,23.5,22,6,0,8,54,0,0
LKOH,mean_reversion,60,4,90.0,20.0,59,177,0,0,0.7,150,87,41.4,-235.49,0.78,377.76,25.2,24,2,0,0,61,0,0
LKOH,mean_reversion,60,5,90.0,15.0,59,177,0,50,0.7,90,73,38.4,-139.89,0.78,204.32,16.2,9,1,0,5,58,0,0
LKOH,mean_reversion,60,6,90.0,20.0,59,118,0,0,0.7,150,88,43.2,-236.52,0.77,347.77,24.7,24,6,0,0,58,0,0
LKOH,mean_reversion,60,7,90.0,20.0,59,177,0,30,0.7,90,93,37.6,-204.55,0.76,273.87,14.5,14,2,0,19,58,0,0
LKOH,mean_reversion,60,8,90.0,20.0,59,177,0,30,0.7,150,90,33.3,-217.99,0.76,314.46,21.3,19,2,0,23,46,0,0
LKOH,mean_reversion,60,9,90.0,15.0,59,177,0,0,0.7,90,72,40.3,-157.75,0.76,210.34,16.7,10,1,0,0,61,0,0
LKOH,mean_reversion,60,10,90.0,20.0,59,177,0,50,0.7,90,93,43.0,-228.05,0.75,281.38,16.1,17,2,0,5,69,0,0
MAGN,mean_reversion,60,0,80.0,20.0,100,300,70,85,0.7,,109,36.7,-67.31,0.42,70.93,27.1,0,0,27,0,82,0,0
MAGN,mean_reversion,60,1,75.0,10.0,70,140,0,0,0.7,150,70,47.1,3.31,1.07,22.25,29.4,3,2,0,0,65,0,0
MAGN,mean_reversion,60,2,75.0,10.0,70,140,0,0,0.0,150,78,48.7,3.06,1.06,22.21,29.4,3,2,0,0,73,0,0
MAGN,mean_reversion,60,3,75.0,10.0,70,140,0,0,0.5,150,77,48.1,2.71,1.05,22.56,29.4,3,2,0,0,72,0,0
MAGN,mean_reversion,60,4,75.0,10.0,70,140,0,60,0.0,150,78,46.2,0.97,1.02,22.91,29.2,3,2,0,2,71,0,0
MAGN,mean_reversion,60,5,75.0,10.0,70,140,0,60,0.7,150,70,44.3,1.22,1.02,22.95,29.1,3,2,0,2,63,0,0
MAGN,mean_reversion,60,6,75.0,10.0,70,140,0,60,0.5,150,77,45.5,0.62,1.01,23.26,29.2,3,2,0,2,70,0,0
MAGN,mean_reversion,60,7,75.0,10.0,140,280,0,0,0.0,150,77,49.4,0.27,1.01,21.06,30.0,0,0,0,0,77,0,0
MAGN,mean_reversion,60,8,75.0,10.0,140,280,0,119,0.0,150,77,49.4,0.27,1.01,21.06,30.0,0,0,0,0,77,0,0
MAGN,mean_reversion,60,9,75.0,10.0,140,280,98,0,0.0,150,77,49.4,0.27,1.01,21.06,30.0,0,0,1,0,76,0,0
MAGN,mean_reversion,60,10,75.0,10.0,140,280,98,0,0.0,150,77,49.4,0.27,1.01,21.06,30.0,0,0,1,0,76,0,0
MGNT,mean_reversion,60,0,80.0,20.0,50,150,36,43,0.7,,101,35.6,-510.62,0.4,523.77,27.4,0,0,15,0,84,1,1
MGNT,mean_reversion,60,1,75.0,10.0,50,100,0,0,0.5,90,80,55.0,-44.14,0.9,114.62,17.8,1,0,0,0,79,0,0
MGNT,mean_reversion,60,2,75.0,10.0,50,100,0,42,0.5,90,80,55.0,-44.14,0.9,114.62,17.8,1,0,0,0,79,0,0
MGNT,mean_reversion,60,3,75.0,10.0,50,150,0,0,0.5,90,80,55.0,-44.14,0.9,114.62,17.8,1,0,0,0,79,0,0
MGNT,mean_reversion,60,4,75.0,10.0,50,150,0,42,0.5,90,80,55.0,-44.14,0.9,114.62,17.8,1,0,0,0,79,0,0
MGNT,mean_reversion,60,5,75.0,10.0,50,200,0,0,0.5,90,80,55.0,-44.14,0.9,114.62,17.8,1,0,0,0,79,0,0
MGNT,mean_reversion,60,6,75.0,10.0,50,200,0,42,0.5,90,80,55.0,-44.14,0.9,114.62,17.8,1,0,0,0,79,0,0
MGNT,mean_reversion,60,7,75.0,10.0,50,100,0,25,0.5,90,80,53.8,-48.64,0.89,119.12,17.8,1,0,0,1,78,0,0
MGNT,mean_reversion,60,8,75.0,10.0,50,150,0,25,0.5,90,80,53.8,-48.64,0.89,119.12,17.8,1,0,0,1,78,0,0
MGNT,mean_reversion,60,9,75.0,10.0,50,200,0,25,0.5,90,80,53.8,-48.64,0.89,119.12,17.8,1,0,0,1,78,0,0
MGNT,mean_reversion,60,10,75.0,10.0,70,140,0,0,0.5,90,79,54.4,-47.69,0.89,102.62,18.0,0,0,0,0,79,0,0
MOEX,mean_reversion,60,0,80.0,20.0,65,195,46,55,0.7,,86,34.9,-134.72,0.54,139.49,30.0,0,0,0,0,86,0,0
MOEX,mean_reversion,60,1,85.0,15.0,46,92,0,0,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,2,85.0,15.0,46,92,0,23,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,3,85.0,15.0,46,92,0,39,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,4,85.0,15.0,46,92,32,0,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,5,85.0,15.0,46,92,32,0,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,6,85.0,15.0,46,92,32,0,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,7,85.0,15.0,46,138,0,0,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,8,85.0,15.0,46,138,0,23,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,9,85.0,15.0,46,138,0,39,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MOEX,mean_reversion,60,10,85.0,15.0,46,138,32,0,0.0,150,74,40.5,-29.72,0.85,62.53,30.0,0,0,0,0,74,0,0
MTSS,mean_reversion,60,0,80.0,20.0,80,240,56,68,0.7,,86,43.0,-80.31,0.74,171.66,30.0,0,0,1,0,85,0,0
MTSS,mean_reversion,60,1,75.0,15.0,56,112,0,0,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,2,75.0,15.0,56,112,0,28,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,3,75.0,15.0,56,112,0,48,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,4,75.0,15.0,56,168,0,0,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,5,75.0,15.0,56,168,0,28,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,6,75.0,15.0,56,168,0,48,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,7,75.0,15.0,56,224,0,0,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,8,75.0,15.0,56,224,0,28,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,9,75.0,15.0,56,224,0,48,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
MTSS,mean_reversion,60,10,75.0,15.0,80,160,0,0,0.5,150,85,37.6,-17.84,0.93,86.43,30.0,0,0,0,0,85,0,0
NLMK,mean_reversion,60,0,80.0,20.0,90,270,64,77,0.7,,92,54.3,-31.63,0.85,77.9,29.4,0,0,7,0,85,0,0
NLMK,mean_reversion,60,1,80.0,10.0,63,126,0,54,0.7,150,66,60.6,49.23,1.42,43.73,29.5,0,1,0,1,64,0,0
NLMK,mean_reversion,60,2,80.0,10.0,63,189,0,54,0.7,150,66,60.6,47.63,1.41,43.73,29.6,0,0,0,1,65,0,0
NLMK,mean_reversion,60,3,80.0,10.0,63,252,0,54,0.7,150,66,60.6,47.63,1.41,43.73,29.6,0,0,0,1,65,0,0
NLMK,mean_reversion,60,4,80.0,10.0,90,180,0,45,0.7,150,66,60.6,47.63,1.41,43.73,29.6,0,0,0,1,65,0,0
NLMK,mean_reversion,60,5,80.0,10.0,90,270,0,45,0.7,150,66,60.6,47.63,1.41,43.73,29.6,0,0,0,1,65,0,0
NLMK,mean_reversion,60,6,80.0,10.0,90,360,0,45,0.7,150,66,60.6,47.63,1.41,43.73,29.6,0,0,0,1,65,0,0
NLMK,mean_reversion,60,7,80.0,10.0,63,126,0,32,0.7,150,66,57.6,46.23,1.39,43.73,29.2,0,1,0,3,62,0,0
NLMK,mean_reversion,60,8,80.0,10.0,63,189,0,32,0.7,150,66,57.6,44.63,1.38,43.73,29.2,0,0,0,3,63,0,0
